Wavelength (nm);Intensity Source
817.782;4.810
818.099;4.932
818.416;4.907
818.733;4.956
819.050;4.980
819.367;5.176
819.684;5.151
820.001;5.225
820.318;5.396
820.635;5.371
820.952;5.640
821.268;5.762
821.585;5.957
821.902;6.079
822.218;6.250
822.535;6.226
822.851;6.567
823.167;6.714
823.484;6.982
823.800;7.202
824.116;7.593
824.432;7.666
824.749;7.935
825.065;8.179
825.381;8.521
825.697;8.545
826.013;8.618
826.328;8.960
826.644;9.204
826.960;9.277
827.276;9.668
827.591;9.424
827.907;9.570
828.223;9.644
828.538;10.010
828.854;10.254
829.169;10.034
829.484;10.083
829.800;9.814
830.115;9.766
830.430;10.132
830.745;10.010
831.060;10.010
831.375;9.741
831.690;9.839
832.005;9.937
832.320;9.595
832.635;9.546
832.950;9.448
833.264;9.473
833.579;9.546
833.894;9.277
834.208;9.351
834.523;8.960
834.837;8.911
835.152;8.984
835.466;8.813
835.780;8.765
836.095;8.594
836.409;8.643
836.723;8.325
837.037;8.154
837.351;8.081
837.665;8.081
837.979;8.081
838.293;7.739
838.607;7.422
838.921;7.617
839.234;7.397
839.548;7.178
839.862;7.275
840.175;7.056
840.489;6.836
840.802;6.885
841.116;6.665
841.429;6.665
841.742;6.616
842.055;6.445
842.369;6.372
842.682;6.323
842.995;6.323
843.308;6.592
843.621;6.152
843.934;6.006
844.247;5.981
844.560;6.055
844.872;5.933
845.185;5.859
845.498;5.786
845.810;5.908
846.123;5.542
846.435;5.737
846.748;5.615
847.060;5.664
847.373;5.469
847.685;5.640
847.997;5.518
848.309;5.493
848.622;5.371
848.934;5.103
849.246;5.298
849.558;5.249
849.870;5.322
850.181;5.347
850.493;5.127
850.805;5.176
851.117;5.225
851.428;5.078
851.740;5.103
852.052;5.176
852.363;4.907
852.675;4.810
852.986;5.078
853.297;4.980
853.609;4.810
853.920;5.029
854.231;4.907
854.542;4.956
854.853;4.907
855.164;4.883
855.475;4.932
855.786;4.980
856.097;4.956
856.408;4.785
856.719;4.810
857.029;4.858
857.340;4.761
857.650;4.736
857.961;4.712
858.272;4.736
858.582;4.736
858.892;4.858
859.203;4.712
859.513;4.736
859.823;4.834
860.133;4.736
860.443;4.712
860.754;4.834
861.064;4.761
861.373;4.687
861.683;4.736
861.993;4.687
862.303;4.687
862.613;4.492
862.922;4.590
863.232;4.687
863.542;4.736
863.851;4.590
864.161;4.614
864.470;4.541
864.779;4.419
865.089;4.663
865.398;4.663
865.707;4.565
866.016;4.761
866.325;4.687
866.634;4.517
866.943;4.614
867.252;4.590
867.561;4.932
867.870;4.590
868.179;4.639
868.488;4.614
868.796;4.639
869.105;4.639
869.413;4.565
869.722;4.663
870.030;4.590
870.339;4.517
870.647;4.639
870.955;4.492
871.264;4.590
871.572;4.443
871.880;4.761
872.188;4.639
872.496;4.517
872.804;4.590
873.112;4.565
873.420;4.468
873.727;4.590
874.035;4.565
874.343;4.395
874.650;4.541
874.958;4.663
875.266;4.517
875.573;4.614
875.880;4.517
876.188;4.541
876.495;4.736
876.802;4.517
877.110;4.492
877.417;4.614
877.724;4.517
878.031;4.541
878.338;4.565
878.645;4.517
878.952;4.492
879.258;4.590
879.565;4.541
879.872;4.614
880.179;4.541
880.485;4.468
880.792;4.468
881.098;4.565
881.405;4.541
881.711;4.468
882.017;4.517
882.324;4.468
882.630;4.590
882.936;4.541
883.242;4.541
883.548;4.614
883.854;4.712
884.160;4.517
884.466;4.541
884.772;4.517
885.078;4.541
885.383;4.395
885.689;4.541
885.995;4.614
886.300;4.468
886.606;4.590
886.911;4.492
887.216;4.614
887.522;4.663
887.827;4.687
888.132;4.346
888.437;4.541
888.743;4.614
889.048;4.492
889.353;4.492
889.658;4.395
889.962;4.541
890.267;4.565
890.572;4.565
890.877;4.590
891.182;4.687
891.486;4.541
891.791;4.517
892.095;4.565
892.400;4.590
892.704;4.517
893.008;4.590
893.313;4.590
893.617;4.419
893.921;4.419
894.225;4.492
894.529;4.492
894.833;4.419
895.137;4.443
895.441;4.419
895.745;4.492
896.049;4.687
896.353;4.565
896.656;4.590
896.960;4.443
897.263;4.419
897.567;4.468
897.870;4.590
898.174;4.468
898.477;4.468
898.780;4.590
899.084;4.492
899.387;4.614
899.690;4.517
899.993;4.468
900.296;4.468
900.599;4.370
900.902;4.541
901.205;4.517
901.508;4.419
901.810;4.639
902.113;4.565
902.416;4.541
902.718;4.468
903.021;4.541
903.323;4.468
903.626;4.517
903.928;4.419
904.230;4.443
904.533;4.492
