Wavelength (nm);Intensity Source
910.737;4.150
911.040;4.053
911.343;4.053
911.646;4.126
911.949;4.102
912.251;4.077
912.554;4.102
912.857;4.077
913.159;3.955
913.462;3.931
913.764;3.931
914.067;4.028
914.369;4.053
914.671;3.979
914.973;3.979
915.276;4.053
915.578;4.077
915.880;4.077
916.182;4.028
916.484;4.272
916.786;4.443
917.087;4.346
917.389;4.199
917.691;4.126
917.993;4.175
918.294;4.126
918.596;4.077
918.897;4.150
919.199;4.199
919.500;4.150
919.802;4.150
920.103;4.102
920.404;4.102
920.705;4.053
921.006;4.028
921.307;4.004
921.608;3.979
921.909;4.004
922.210;4.028
922.511;4.077
922.812;4.077
923.113;4.126
923.413;4.199
923.714;4.175
924.015;4.126
924.315;4.077
924.615;4.004
924.916;4.053
925.216;4.150
925.516;4.199
925.817;4.175
926.117;4.175
926.417;4.126
926.717;4.077
927.017;4.126
927.317;4.175
927.617;4.126
927.917;4.102
928.216;4.077
928.516;4.077
928.816;4.102
929.115;4.175
929.415;4.126
929.715;4.077
930.014;4.102
930.313;4.102
930.613;4.077
930.912;4.077
931.211;4.102
931.510;4.077
931.809;4.077
932.108;4.077
932.407;4.102
932.706;4.102
933.005;4.126
933.304;4.272
933.603;4.175
933.902;4.126
934.200;4.126
934.499;4.126
934.797;4.126
935.096;4.126
935.394;4.077
935.693;4.053
935.991;4.028
936.289;4.053
936.587;4.053
936.885;4.077
