# lambda/AA  F/Fc
6598.7587 0.991695
6598.7570 0.991612
6598.7554 0.991668
6598.7537 0.991394
6598.7521 0.990699
6598.7504 0.990058
6598.7488 0.989676
6598.7472 0.989276
6598.7455 0.988691
6598.7439 0.987978
6598.7422 0.987249
6598.7406 0.986653
6598.7390 0.986134
6598.7373 0.985444
6598.7357 0.984636
6598.7340 0.983912
6598.7324 0.983123
6598.7308 0.982145
6598.7291 0.981238
6598.7275 0.980435
6598.7258 0.979435
6598.7242 0.978335
6598.7226 0.977440
6598.7209 0.976499
6598.7193 0.975197
6598.7176 0.973865
6598.7160 0.972810
6598.7144 0.971679
6598.7127 0.970170
6598.7111 0.968609
6598.7094 0.967282
6598.7078 0.965923
6598.7062 0.964305
6598.7045 0.962656
6598.7029 0.961119
6598.7012 0.959468
6598.6996 0.957542
6598.6980 0.955418
6598.6963 0.953273
6598.6947 0.951300
6598.6930 0.949396
6598.6914 0.947246
6598.6897 0.944926
6598.6881 0.942665
6598.6865 0.940212
6598.6848 0.937345
6598.6832 0.934341
6598.6815 0.931457
6598.6799 0.928723
6598.6783 0.926137
6598.6766 0.923541
6598.6750 0.920702
6598.6733 0.917548
6598.6717 0.914190
6598.6701 0.910937
6598.6684 0.907891
6598.6668 0.904648
6598.6651 0.901066
6598.6635 0.897500
6598.6619 0.893987
6598.6602 0.890390
6598.6586 0.886804
6598.6569 0.883031
6598.6553 0.878861
6598.6537 0.874706
6598.6520 0.870882
6598.6504 0.867232
6598.6487 0.863707
6598.6471 0.860206
6598.6455 0.856520
6598.6438 0.852775
6598.6422 0.849067
6598.6405 0.845316
6598.6389 0.841757
6598.6373 0.838524
6598.6356 0.835330
6598.6340 0.832107
6598.6323 0.828935
6598.6307 0.825669
6598.6291 0.822403
6598.6274 0.819453
6598.6258 0.816805
6598.6241 0.814268
6598.6225 0.811796
6598.6208 0.809542
6598.6192 0.807785
6598.6176 0.806485
6598.6159 0.805249
6598.6143 0.803964
6598.6126 0.802835
6598.6110 0.801975
6598.6094 0.801420
6598.6077 0.801098
6598.6061 0.800821
6598.6044 0.800647
6598.6028 0.800807
6598.6012 0.801378
6598.5995 0.802357
6598.5979 0.803670
6598.5962 0.805112
6598.5946 0.806580
6598.5930 0.808080
6598.5913 0.809578
6598.5897 0.811221
6598.5880 0.813271
6598.5864 0.815584
6598.5848 0.817747
6598.5831 0.819846
6598.5815 0.822423
6598.5798 0.825590
6598.5782 0.828881
6598.5766 0.832007
6598.5749 0.835041
6598.5733 0.838064
6598.5716 0.841206
6598.5700 0.844571
6598.5684 0.848027
6598.5667 0.851533
6598.5651 0.855206
6598.5634 0.858888
6598.5618 0.862430
6598.5602 0.866052
6598.5585 0.869838
6598.5569 0.873519
6598.5552 0.876995
6598.5536 0.880466
6598.5519 0.884084
6598.5503 0.887760
6598.5487 0.891362
6598.5470 0.894944
6598.5454 0.898504
6598.5437 0.901923
6598.5421 0.905317
6598.5405 0.908710
6598.5388 0.911753
6598.5372 0.914561
6598.5355 0.917711
6598.5339 0.921115
6598.5323 0.924291
6598.5306 0.927220
6598.5290 0.930028
6598.5273 0.932796
6598.5257 0.935731
6598.5241 0.938684
6598.5224 0.941232
6598.5208 0.943427
6598.5191 0.945678
6598.5175 0.948118
6598.5159 0.950497
6598.5142 0.952597
6598.5126 0.954635
6598.5109 0.956855
6598.5093 0.958952
6598.5077 0.960629
6598.5060 0.962097
6598.5044 0.963580
6598.5027 0.965155
6598.5011 0.966823
6598.4995 0.968312
6598.4978 0.969504
6598.4962 0.970676
6598.4945 0.971848
6598.4929 0.972963
6598.4913 0.974351
6598.4896 0.975944
6598.4880 0.977146
6598.4863 0.977856
6598.4847 0.978458
6598.4831 0.979201
6598.4814 0.980172
6598.4798 0.981205
6598.4781 0.981979
6598.4765 0.982544
6598.4748 0.983186
6598.4732 0.983918
6598.4716 0.984564
6598.4699 0.985015
6598.4683 0.985349
6598.4666 0.985766
6598.4650 0.986225
6598.4634 0.986550
6598.4617 0.986882
6598.4601 0.987410
6598.4584 0.987966
6598.4568 0.988365
6598.4552 0.988626
6598.4535 0.988767
6598.4519 0.988852
6598.4502 0.989049
6598.4486 0.989353
6598.4470 0.989530
6598.4453 0.989460
6598.4437 0.989317
6598.4420 0.989285
6598.4404 0.989379
6598.4388 0.989602
6598.4371 0.989896
6598.4355 0.990017
6598.4338 0.989832
6598.4322 0.989510
6598.4306 0.989286
6598.4289 0.989276
6598.4273 0.989410
6598.4256 0.989482
6598.4240 0.989463
6598.4224 0.989382
6598.4207 0.989066
6598.4191 0.988587
6598.4174 0.988340
6598.4158 0.988344
6598.4142 0.988340
6598.4125 0.988283
6598.4109 0.988029
6598.4092 0.987481
6598.4076 0.987108
6598.4060 0.987198
6598.4043 0.987227
6598.4027 0.986810
6598.4010 0.986328
6598.3994 0.986193
6598.3978 0.986280
6598.3961 0.986264
6598.3945 0.986128
