Wavelength (nm);Absorbance Solution;Transmittance Solution
673.292;0.086;81.964
673.633;0.079;83.332
673.974;0.079;83.367
674.316;0.099;79.541
674.657;0.087;81.846
674.998;0.098;79.801
675.339;0.085;82.219
675.680;0.087;81.759
676.021;0.098;79.857
676.362;0.084;82.429
676.703;0.071;84.828
677.044;0.087;81.793
677.385;0.081;83.008
677.726;0.088;81.603
678.067;0.084;82.359
678.407;0.074;84.355
678.748;0.069;85.306
679.088;0.069;85.394
679.429;0.088;81.614
679.770;0.092;80.887
680.110;0.091;81.108
680.450;0.085;82.150
680.791;0.086;81.979
681.131;0.062;86.750
681.471;0.088;81.713
681.811;0.083;82.669
682.152;0.096;80.116
682.492;0.086;82.070
682.832;0.084;82.469
683.172;0.079;83.347
683.512;0.086;81.973
683.852;0.087;81.900
684.192;0.081;83.048
684.531;0.093;80.691
684.871;0.070;85.057
685.211;0.082;82.729
685.551;0.088;81.678
685.890;0.082;82.797
686.230;0.081;82.963
686.569;0.075;84.221
686.909;0.066;85.922
687.248;0.086;82.124
687.588;0.082;82.818
687.927;0.082;82.727
688.266;0.083;82.642
688.605;0.062;86.706
688.945;0.091;81.005
689.284;0.078;83.583
689.623;0.093;80.672
689.962;0.087;81.847
690.301;0.082;82.729
690.640;0.074;84.397
690.979;0.079;83.352
691.317;0.071;84.824
691.656;0.077;83.821
691.995;0.085;82.266
692.334;0.077;83.722
692.672;0.080;83.194
693.011;0.076;83.849
693.349;0.077;83.795
693.688;0.068;85.569
694.026;0.077;83.761
694.365;0.083;82.573
694.703;0.073;84.527
695.041;0.073;84.570
695.379;0.082;82.852
695.718;0.084;82.391
696.056;0.082;82.749
696.394;0.076;83.896
696.732;0.087;81.756
697.070;0.078;83.507
697.408;0.077;83.744
697.746;0.064;86.389
698.084;0.073;84.522
698.421;0.070;85.179
698.759;0.077;83.773
699.097;0.095;80.269
699.435;0.074;84.264
699.772;0.073;84.506
700.110;0.080;83.258
700.447;0.076;83.992
700.785;0.075;84.224
701.122;0.073;84.461
701.459;0.073;84.513
701.797;0.076;84.041
702.134;0.066;85.926
702.471;0.068;85.563
702.808;0.075;84.044
703.145;0.069;85.364
703.482;0.075;84.215
703.819;0.069;85.306
704.156;0.083;82.648
704.493;0.079;83.459
704.830;0.065;86.090
705.167;0.075;84.046
705.504;0.078;83.495
705.840;0.069;85.378
706.177;0.069;85.239
706.514;0.075;84.086
706.850;0.071;84.960
707.187;0.071;84.967
707.523;0.064;86.343
707.860;0.071;85.008
708.196;0.075;84.108
708.532;0.071;84.881
708.868;0.064;86.260
709.205;0.075;84.080
709.541;0.069;85.237
709.877;0.073;84.570
710.213;0.070;85.142
710.549;0.063;86.465
710.885;0.078;83.552
711.221;0.069;85.395
711.557;0.071;84.849
711.893;0.070;85.176
712.228;0.066;85.895
712.564;0.066;85.954
712.900;0.069;85.358
713.235;0.066;85.950
713.571;0.072;84.719
713.906;0.082;82.881
714.242;0.072;84.781
714.577;0.062;86.775
714.913;0.070;85.130
715.248;0.063;86.457
715.583;0.072;84.718
715.918;0.063;86.398
716.254;0.067;85.776
716.589;0.059;87.212
716.924;0.056;87.902
717.259;0.063;86.476
717.594;0.071;84.860
717.929;0.067;85.780
718.263;0.068;85.550
718.598;0.070;85.168
718.933;0.064;86.234
719.268;0.074;84.282
719.602;0.066;85.944
719.937;0.064;86.346
720.272;0.069;85.288
720.606;0.061;86.797
720.941;0.072;84.695
721.275;0.069;85.375
721.609;0.061;86.978
721.944;0.066;85.843
722.278;0.060;87.186
722.612;0.061;86.814
722.946;0.071;84.936
723.280;0.066;85.953
723.614;0.060;87.177
723.948;0.062;86.647
724.282;0.067;85.736
724.616;0.066;85.857
724.950;0.069;85.389
725.284;0.062;86.756
725.618;0.061;86.890
725.951;0.068;85.545
726.285;0.062;86.685
726.619;0.064;86.385
726.952;0.053;88.514
727.286;0.066;85.984
727.619;0.047;89.727
727.953;0.059;87.241
728.286;0.053;88.567
728.619;0.066;85.926
728.953;0.059;87.284
729.286;0.065;86.065
729.619;0.064;86.310
729.952;0.070;85.137
730.285;0.068;85.428
730.618;0.045;90.232
730.951;0.066;85.849
731.284;0.051;89.007
731.617;0.060;87.092
731.950;0.051;89.006
732.282;0.065;86.126
732.615;0.057;87.690
732.948;0.062;86.609
733.280;0.062;86.634
733.613;0.058;87.575
733.945;0.066;85.897
734.278;0.058;87.471
734.610;0.058;87.552
734.942;0.062;86.690
735.275;0.059;87.274
735.607;0.064;86.300
735.939;0.060;87.076
736.271;0.058;87.517
736.603;0.051;88.844
736.936;0.064;86.199
737.268;0.051;89.018
737.599;0.066;85.812
737.931;0.066;85.966
738.263;0.063;86.517
738.595;0.050;89.127
738.927;0.056;87.961
739.258;0.057;87.661
739.590;0.064;86.363
739.922;0.049;89.264
740.253;0.067;85.789
740.585;0.055;88.158
740.916;0.061;86.888
741.248;0.053;88.476
741.579;0.058;87.446
741.910;0.062;86.745
742.241;0.058;87.452
742.573;0.062;86.779
742.904;0.054;88.227
743.235;0.055;88.130
743.566;0.073;84.615
743.897;0.060;87.125
744.228;0.057;87.744
744.559;0.054;88.271
744.889;0.048;89.500
745.220;0.074;84.278
745.551;0.066;85.995
745.882;0.051;89.012
746.212;0.070;85.191
746.543;0.055;88.203
746.873;0.061;86.987
747.204;0.068;85.557
747.534;0.059;87.215
747.865;0.062;86.695
748.195;0.059;87.273
748.525;0.054;88.364
748.855;0.064;86.397
749.186;0.058;87.475
749.516;0.064;86.370
749.846;0.065;86.122
750.176;0.055;88.048
750.506;0.053;88.426
750.836;0.059;87.371
751.166;0.066;85.931
751.495;0.072;84.801
751.825;0.061;86.814
752.155;0.052;88.726
752.484;0.048;89.547
752.814;0.063;86.472
753.144;0.063;86.470
753.473;0.055;88.092
