V(V): 0.0002	Step NA->	0
Time(s):	Sweep V(V):	Ch1 I(A) 0.0183K
5.152800E+1	-4.720000E-1	6.650000E-13
5.162400E+1	-4.710000E-1	3.958500E-13
5.172000E+1	-4.700000E-1	1.530500E-13
5.181800E+1	-4.690000E-1	3.272000E-13
5.191500E+1	-4.680000E-1	3.536000E-13
5.201300E+1	-4.670000E-1	3.483500E-13
5.211000E+1	-4.660000E-1	3.430500E-13
5.220800E+1	-4.650000E-1	3.589000E-13
5.230400E+1	-4.640000E-1	1.689000E-13
5.240100E+1	-4.630000E-1	1.478000E-13
5.249900E+1	-4.620000E-1	2.639000E-13
5.259800E+1	-4.610000E-1	1.478000E-13
5.269600E+1	-4.600000E-1	5.280000E-14
5.279400E+1	-4.590000E-1	4.328000E-13
5.289000E+1	-4.580000E-1	9.500000E-14
5.298800E+1	-4.570000E-1	5.699999E-13
5.308500E+1	-4.560000E-1	-5.804999E-14
5.318100E+1	-4.550000E-1	3.800000E-13
5.327700E+1	-4.540000E-1	1.161000E-13
